"Предприятия, организации,""с начала года"",""январь"",""февраль"",""март"",""апрель"",""май"",""июнь"",""июль"",""август"",""сентябрь"",""октябрь"",""ноябрь"",""декабрь"""
" ОАО ""Славнефть-Мегионнефтегазгеология"",""245,337"",""21,441"",""20,178"",""23,586"",""22,017"",""19,88"",""20,296"",""21,544"",""21,547"",""20,152"",""18,231"",""17,411"",""19,054"""
" ОАО ""ОНГГ"",""2423,167"",""211,218"",""190,574"",""207,03"",""198,254"",""200,436"",""197,423"",""209,776"",""212,501"",""202,923"",""201,514"",""190,969"",""200,549"""
" ЗАО ""Обьнефтегеология"",""76,766"",""41,5"",""35,266"",""0"",""0"",""   "",""0"",""0"",""   "",""0"",""0"",""0"",""0"""
" ОАО НГК ""Славнефть"",""802,024"",""62,977"",""56,63"",""67,097"",""65,827"",""68,085"",""67,465"",""70,415"",""70,04"",""67,274"",""69,241"",""66,467"",""70,506"""
" ЗАО ""Славнефть-Красноярскнефтегаз"",""971,751"",""59,885"",""53,624"",""63,942"",""67,096"",""65,499"",""74,529"",""87,607"",""96,17"",""91,368"",""95,062"",""103,202"",""113,767"""
" ООО ""Славнефть-Нижневартовск"",""2006,051"",""131,064"",""120,352"",""170,472"",""162,668"",""171,36"",""171,914"",""185,823"",""188,414"",""181,566"",""178,771"",""169,664"",""173,983"""
" ПАО НК ""РуссНефть"",""7122,21"",""607,954"",""547,2"",""598,941"",""576,615"",""610,215"",""606,527"",""624,787"",""601,677"",""576,626"",""595,839"",""576,629"",""599,2"""
" ОАО ""Варьеганнефть"",""565,54"",""55,017"",""50,338"",""54,84"",""52,537"",""55,049"",""53,279"",""52,789"",""34,173"",""43,634"",""38,57"",""35,965"",""39,349"""
" ОАО НК ""Русснефть"",""6556,585"",""552,887"",""496,852"",""544,091"",""524,078"",""555,151"",""553,248"",""571,998"",""567,504"",""532,992"",""557,269"",""540,664"",""559,851"""
" ОАО ""Саратовнефтегаз"",""0,04"",""0,04"",""   "",""   "",""0"",""0"",""   "",""   "",""   "",""   "",""   "",""   "",""   """
" ОАО ""Ульяновскнефть"",""0,045"",""0,01"",""0,01"",""0,01"",""0"",""0,015"",""   "",""   "",""   "",""   "",""   "",""   "",""   """
" АО ""Нефтегазхолдинг"",""2056,381"",""173,702"",""154,811"",""173,556"",""168,56"",""177,472"",""171,645"",""175,309"",""173,135"",""169,242"",""174,336"",""170"",""174,613"""
" ООО ""ВТК"",""329,495"",""26,286"",""23,355"",""26,613"",""26,982"",""27,445"",""26,938"",""28,216"",""28,53"",""28,158"",""29,021"",""28,393"",""29,558"""
